episode_number,host,bright_spot
563,Jordan,"Selene (the cat) has started hanging out in the bathtub, forming a commonality with Jordan, the bath person."
564,Dan,"Decided to give Assassin's Creed Valhalla another chance, and now can ride a giant cat around."
564,Jordan,The French Open is going on. There is a good chance that Rafa and Djokovic are meeting for their roughly 600th time.
565,Dan,Undefeated streak in Mario Party with friends online.
565,Jordan,Watching Djokovic and Rafa play the greatest clay court tennis match in history.
566,Dan,Walking to the show to listen to old albums.
566,Jordan,Watching the Peter Serafinowicz version of The Tick.
567,Dan,Finishing the Amazon original series 'The Tick' and finding it highly enjoyable
567,Jordan,"Booking first stand-up gig post COVID, feeling excited to perform again"
568,Dan,Announcing the live finale of Gods Damn Wizard on July 1st at the Lincoln Lodge in Chicago.
568,Jordan,Recorded a guest appearance on God Awful Movies.
568,Jordan,Recorded an episode of Your Music Saved Us about a Five Iron Frenzy EP.
569,Dan,Announcing a new run of Cult of Selene themed Knowledge Fight buttons and is excited about the meditative process of crafting them.
569,Jordan,"Starting a new, hopefully novel-sized, writing project after a year of writing mean things about Taylor Swift and wizard stories."
570,Dan,Making buttons for listeners.
570,Dan,Rewatching Survivor from the beginning.
570,Jordan,Tyler the Creator's new album - a return to straight hip-hop.
571,Dan,Nice messages and requests from people for buttons and thinking about charities being named after his cat Selene
571,Jordan,Wimbledon and the return of Andy Murray and Roger Federer from injury
572,Dan,Performing on stage again after two years at the Lincoln Lodge for the D&D show.
572,Jordan,"Attending the live D&D show at the Lincoln Lodge, reminiscing about performing stand-up at the original location."
573,Dan,Skittles gummies
573,Jordan,New coffee maker
573,Jordan,Enjoying Kona coffee
574,Dan,Birds nesting under the laundry room staircase
574,Jordan,A DJ Danarchy-produced theme song for the podcast
575,Dan,The continuing of button requests
575,Dan,Frederick H. adopting an elephant in Kenya in honor of Celine
575,Jordan,Cotton candy flavored grapes
575,Jordan,Someone posting a picture of Skittles gummies with weed in them
576,Dan,Revisiting past seasons of Survivor and finding them interesting and engaging.
576,Dan,Discovering the magnetic personality of Rupert on Survivor.
576,Jordan,"Shohei Ohtani's incredible baseball performance, including leading the league in home runs as a pitcher."
576,Jordan,Excitement for the Home Run Derby.
577,Dan,Rewatching the Matt Smith series of Doctor Who
577,Jordan,Toe surgery leading to the possibility of doing things previously impossible due to toe pain.
578,Dan,"Email from WWF Gifts; inspired by the altar of Celine, listener adopted a quokka (Celine's child elephant has gotten an adopted quokka)"
578,Jordan,Vince Staples new album release - really good
578,Jordan,"Second recommendation for the new album, prompting conversation about it"
579,Dan,"Rory Scoville's documentary stand-up special, which features improvised comedy and analysis of his own performance."
579,Jordan,"Conservation efforts of Knowledge Fight listeners, including adopting a quokka, a baby elephant, and protecting forest area in Belgium."
580,Dan,"Audience bringing additional information to the conversation, specifically Justin's email regarding thewilderness.com"
580,Jordan,"Cooking, particularly mastering salmon with crispy skin"
581,Dan,The family of Selene's adopted children continues to grow
581,Dan,"Ashley sent an adoption of a snow leopard in addition to the baby elephant, whale, and quokka"
581,Jordan,Partner and Jordan are headed to scenic Oregon
581,Jordan,They're going to the coast
581,Jordan,They're staying in a tree house in the middle of nowhere
583,Dan,Having a fantastic and restorative trip
583,Dan,Seeing waterfalls
583,Dan,Hiking a two mile long trail
583,Dan,Seeing dogs again and having them show excitement
583,Jordan,Enjoying making buttons and sending them out to people
583,Jordan,Watching Survivor (specifically Season 13)
583,Jordan,Giving a gift to a ton of people
584,Dan,Watching Survivor Gabon
584,Dan,Seeing the character Bob who reminds him of an old Nate Burrows
584,Jordan,Seeing Fast and Furious 9
584,Jordan,Imagining a post-credit scene of Luna and Tyreese bickering in a car in space
585,Dan,Having sent Knowledge Fight buttons to all 50 US states.
585,Jordan,Playing Mortal Kombat until 3:30 AM with partner.
585,Jordan,Dispensary employee offering a 'fantastic order' compliment.
586,Dan,Most emails for buttons being addressed to Dan instead of Jordan.
586,Dan,"The message to Kit Kat, the company, to stop releasing novelty flavors (specifically the fruity cereal and key lime pie Kit Kats)."
586,Jordan,"The return of MTV's *The Challenge*, particularly the character CT being ripped again and acting as a wise mentor to the younger contestants."
587,Dan,"Coined the term ""me-vening"" and anticipates it becoming wildly popular, potentially selling the concept to Fandango for solo movie nights."
587,Jordan,"Getting a new tattoo next Wednesday, a colored version of a previous tattoo, effectively closing the loop to create a wrist bracelet."
588,Dan,"Sending out buttons with cool stamps: cappuccino, tap dancing, and sun science reflecting light."
588,Jordan,"A new Civilization 6-like game called Humankind, offering a mix of complexity, simplicity, and fun."
589,Dan,Wrote a joke about dryer sheets
589,Jordan,"Walking and listening to Jesse Ware's album, rediscovering disco"
590,Dan,Being wrong about something and it being okay
590,Dan,People being nice about mistakes
590,Jordan,New tattoo from a very skilled artist
591,Dan,"Exploring different play styles of games, specifically a deck building game called Griftlands"
591,Jordan,"New board game called Wingspan, a gorgeous resource game about collecting and bird watching"
592,Dan,Discovering Magic the Gathering online
592,Dan,Reclaiming something from childhood that was forbidden
592,Jordan,"The Church's new album, ""Fantastic"""
592,Jordan,Robert Smith guesting on the album
593,Dan,Having a supportive partner who is helping him get through a depressive episode.
593,Dan,Support from Jordan.
593,Jordan,"Having sent out all 4,000 buttons to people around the world."
594,Dan,Excitement for Alex Jones' review of the new Matrix movie trailer and Dune.
594,Jordan,"Watching British panel game show Taskmaster, citing its creative and comedic solutions to open-ended tasks."
595,Dan,The impending release and availability of a new La Croix plum flavor.
595,Jordan,The United States Open of tennis communications and development final; potential for Novak Djokovic to win his 21st Grand Slam major and complete the first calendar Grand Slam since the 1960s.
596,Dan,"Watching Survivor, specifically the Brains vs. Brawn vs. Beauty season, despite its flaws"
596,Jordan,Connor Friedersdorf's continued shitheadedness on Twitter
597,Dan,"Watching season 32 of Survivor, finding it shockingly dangerous and compelling."
597,Jordan,"Seeing Shohei Ohtani play baseball in person, especially when he made a satisfying 'crack' with the bat."
598,Dan,Eating a Beyond Meat burger and having a day of eating only vegetables.
598,Jordan,Seeing the Mighty Mighty Bosstones in concert and specifically hearing Someday I Suppose live.
599,Dan,"Finding La Croix Beach Plum flavor, anticipating trying it for the first time"
599,Dan,The impending June movie release
599,Jordan,"The silver lining of Jordan's grandmother's passing, as she was no longer suffering and it wasn't five years from now."
599,Jordan,Adjusting to new medication
600,Dan,It's episode 600 of Knowledge Fight.
600,Dan,Tasting a chilled ice cold beach plum La Croix.
600,Jordan,"Yoko Kanno, the composer for Cowboy Bebop, returning for the live action remake."
600,Jordan,The new Cowboy Bebop opening credits are amazing and nearly identical to the original.
601,Dan,The George Lucas Talk Show is back after a hiatus. Ben Schwartz and Andy Daly have appeared on recent episodes.
601,Jordan,"Squid Games: A Korean show on Netflix with battle royale and parasite themes, where people compete in children's games with deadly consequences for the entertainment of the rich."
602,Dan,Exploring Magic: The Gathering cards and community creations
602,Jordan,Going to a magic show with partner after pandemic delays
603,Dan,Positive feedback from the previous Knowledge Fight episode.
603,Jordan,Partner's upcoming birthday and a planned casino visit.
604,Dan,Invited to watch a GCW deathmatch pay-per-view at friends' house.
604,Dan,Seeing friends Marty DeRosa and Sarah Shockey.
604,Jordan,Celebrating partner's birthday at the casino.
604,Jordan,"Finding the sad, older slot machines in the no-smoking area."
605,Dan,Enjoying a bag of iced oatmeal cookies from Walgreens.
605,Jordan,Interviewing with Mike Wiley for the Plastered Cast podcast.
605,Jordan,"Ruminating on the 90s meth PSA, specifically the catchy 'ooh, meth' song."
606,Dan,Taking a trip to visit a friend.
606,Jordan,Seeing Maria Bamford live.
607,Dan,Ate beef stewed with chilies that was too spicy.
607,Jordan,Found the ultimate messenger bag with lots of hidden pockets.
608,Dan,Friend in town for lunch.
608,Jordan,Dune movie release!
609,Dan,Finished watching all of Survivor
609,Dan,Enjoying watching The World's Toughest Race: Eco-Challenge Fiji
609,Jordan,"Began basic obedience training with his dog, Jake"
609,Jordan,Working with a dog trainer to build Jake's confidence
610,Dan,Lost five pounds
610,Dan,The food tasted fine but wasn't good enough to overeat
610,Dan,Having a different relationship with eating that is not self-destructive
610,Jordan,Watching the Eco Challenge show
610,Jordan,The show being inspirational and positive
610,Jordan,Seeing people trying their hardest with people they cared about
610,Jordan,The goodness and lack of schadenfreude in the show
611,Dan,Recording the podcast dressed as Frankenstein's monster
611,Dan,Halloween candy sales the next day
611,Jordan,The new James Blake album
611,Jordan,Listened to D'Angelo's Send It On
612,Dan,Starting to watch Better Call Saul and understanding its appeal.
612,Jordan,"Seeing Sylvan Esso at the Aragon Ballroom, reminding him that he enjoys modern music with live instruments."
613,Dan,Giving up on caring about Survivor rules
613,Jordan,Yoga
614,Dan,Attending a whiskey fest with his partner (despite initial obstacles).
614,Dan,Discovering a surprisingly delicious peanut butter whiskey.
614,Jordan,Watching *The Amazing Race* and hating the contestants.
614,Jordan,"Finding the show enjoyable in a way that is like, 'I really dislike these people'."
615,Dan,"New desk: Replacing mismatched, long-time corner desk; office remodeling."
615,Jordan,"DMV experience: Fast service, harmonious staff, positive atmosphere."
616,Dan,"Finished making a desk, improving the workspace."
616,Jordan,Wonderful interview with Jon Ronson and the positive response.
617,Dan,The coming of winter and enjoying the change of seasons
617,Jordan,Watching AEW's Full Gear pay-per-view with Marty and Sarah of Marty and Sarah Love Wrestling
618,Dan,The Australian version of Survivor.
618,Dan,Australian Survivor is Survivor without the constant twists.
618,Jordan,The War on Drugs releasing a new album.
618,Jordan,The album is considered a Willie Nelson album.
619,Dan,Successfully putting together a new desk.
619,Dan,Putting the desk back together after it fell apart.
619,Jordan,"Grand Theft Auto 3, Vice City, and San Andreas released on the Switch."
620,Dan,The show itself and the positive audience it has attracted over the years.
620,Dan,The opportunity to interview the plaintiff's lawyer for Alex's Sandy Hook case.
620,Jordan,Regular giving thanks for things that are good.
621,Dan,Mom making a fantastic Thanksgiving lunch and overcoming her grief over the loss of his aunt.
621,Jordan,Seeing family after Thanksgiving
621,Jordan,Ice cream sandwiches (especially chocolate chip cookie ones)
622,Dan,Reaffirming that Papa John's pizza is terrible.
622,Jordan,Watching John Cho as Spike in the live-action Cowboy Bebop.
622,Jordan,Yoko Kanno's work in the series.
623,Dan,Kevin the bird from the movie *Up*
623,Jordan,Buying a sharp Japanese kitchen knife
624,Dan,"New microphone chords, hopefully resolving popping sounds in recordings."
624,Jordan,"New long underwear, allowing for warm and toasty legs during cold Chicago mornings."
625,Dan,The bodega near the Argyle stop that he used to frequent.
625,Jordan,Nashville hot chicken finger from Mariano's.
626,Dan,"Discovered the YouTube channel How Ridiculous, where dudes drop things from a high height and watch them fall"
626,Jordan,Made an especially good batch of Chex Mix
627,Dan,Receiving Williams Sonoma Peppermint Bark from his aunt and uncle as a yearly ritual.
627,Jordan,Being a guest on the God Awful Movies podcast
627,Jordan,"Watching ""The Laws of the Universe Part Zero"""
628,Dan,Discovering an energy drink with Hawaiian shaved ice flavor.
628,Jordan,"Watching the new anime TV show *Sunny Boy*, an examination of societal breakdown in space and time."
629,Dan,"Watching the George Lucas Talk Show live, featuring Patton Oswalt and benefiting Feeding America."
629,Jordan,"Discovering Helado Negro's album and the track ""Gemini and Leo"""
631,Dan,Heat being fixed in his apartment after going out.
631,Dan,Landlord responding quickly to the issue.
631,Jordan,Successfully returning home from a harrowing trip.
631,Jordan,Negative COVID test after a stressful wait.
632,Dan,"Received lovely art from Amy, books from Sam (H.G. Wells, Lovecraft), and an indoor campfire set with marshmallows from Christy (Black Dragon Queen)."
632,Jordan,Finally getting into The Expanse sci-fi series.
633,Dan,"Playing Pokémon for the first time and naming all the Pokémon after Infowars personalities (e.g., Steve Pechenik as a cockroach Pokémon, Roger Stone as a rock type, Hillary Clinton as a Murkrow)."
633,Jordan,"Seeing Bobcat Goldthwait and Dana Gould's special, Joyride."
634,Dan,Got a COVID-19 booster shot.
634,Dan,Experienced no significant side effects.
634,Jordan,Teachers in Chicago went to remote learning.
634,Jordan,"88% of teachers voted in favor of going remote in protest, demonstrating strong unity."
635,Dan,Retreating to the painfully sincere and uplifting Great British Baking Show.
635,Jordan,"Awesome Games Done Quick 2021: A charity event with weirdos getting together and having a grand old time doing fun stuff, specifically speed running video games."
636,Dan,"Put new cover art on the Knowledge Fight show, designed by Jack Kay."
636,Jordan,Saw *The Eternals* and found the inadvertent microcosm of the Marvel machine where the only good character with a breakthrough understanding of the story was immediately murdered by the ostensible heroes.
637,Dan,Feeling reinvigorated and alive in the work
637,Dan,A bunch of little irons in the fire are coming to fruition
637,Dan,New technocrat drop
637,Jordan,The restart of Great Pottery Throwdown
637,Jordan,One judge's exceptional pottery skills and overwhelming emotions
637,Jordan,The new assistant who is a trans person kicking ass
638,Dan,Bright spot will be revealed at the end of the episode.
638,Jordan,The Novak Djokovic situation is resolving.
638,Jordan,The Australian Open has begun.
638,Jordan,All three of his rooting interests won.
639,Dan,Nick Fuentes got subpoenaed by the January 6th committee
639,Dan,Dr. Group is now a piss doctor
639,Jordan,Earl Sweatshirt has a new album called Sick
640,Dan,Laura Loomer on War Room not being put in video's metadata because even Info Wars thinks she's too toxic.
640,Jordan,Gael Monfils is in the quarterfinals of the Australian Open; opportunity to win a major near the end of his career.
641,Dan,"Discovered live animal camera feeds on YouTube, particularly enjoying the Namibian desert watering hole cam."
641,Jordan,Has a surplus of Girl Scout cookies due to partner being a teacher.
641,Jordan,Looking forward to negotiating cookie trades after the show.
642,Dan,"The Mighty Mighty Bosstones breaking up, as he got to see them at Riot Fest before they did."
642,Jordan,"Originally, the return of the Saga graphic novel series."
642,Jordan,"Ultimately, having heat again after the heat went out in negative eight degree weather."
643,Dan,"Selene, his cat, being diagnosed with asthma, which is manageable, rather than something more serious."
643,Jordan,"Rafa Nadal winning the Australian Open and reaching 21 major titles, surpassing Djokovic due to Djokovic's vaccination stance."
644,Dan,Timba on Toast's YouTube video analyzing Tim Pool's rhetorical techniques.
644,Dan,The revelation that Tim Pool essentially passes along Info Wars narratives in a more palatable way.
644,Jordan,Hating on other people in yoga class to feel more motivated.
644,Jordan,The schadenfreude of watching a suck-up in yoga.
645,Dan,The release of a previously unknown 30-year-old demo tape by Godspeed You Black Emperor.
645,Jordan,Discovering Dynasty Warriors 8 on the Switch and enjoying the nostalgia.
646,Dan,"Flowers ordered for partner were delivered, despite initial mishap and sadness."
646,Jordan,Playing Mario Party with friends remotely and winning as Waluigi.
647,Dan,Attending CYSK comedy show and seeing Marty DeRosa and Kristen Toomey perform
647,Jordan,Side project-y stuff potentially coming down the road
647,Jordan,Car didn't get towed
648,Dan,The movie Red Rocket
648,Jordan,Hypothetical sweatpants for leisure
649,Dan,Sweatpants are going strong.
649,Jordan,Baking strawberry chunk cupcakes for Valentine's Day using oat milk (which is the secret ingredient).
650,Dan,"Received custom-made magic cards from a friend, including one of himself as a 'Dutch the Discerner' legendary creature."
650,Jordan,Excited to play Horizon Forbidden West.
651,Dan,Playing The Sinking City and being delighted by a sound effect that reminds him of Eternal Darkness.
651,Jordan,Playing Forbidden West and creating Rube Goldberg machines to trap machines.
652,Dan,"Partner making ""It's a Whole Rat"" t-shirts for teachers, highlighting the struggles they face."
652,Jordan,"Handmade board game full of inside jokes from Katie, featuring characters like Leo Zagami and Cannibal Alex."
653,Dan,Spending time with cousins and a French Bulldog puppy
653,Jordan,Playing Horizon Forbidden West
654,Dan,Appearing on the Behind the Bastards podcast this week with Robert and Sophie to discuss the end of Christianity being nice.
654,Jordan,"Creating a comic strip of his dog Jake's adventures, ending tragically with Jake being eaten by a shark."
655,Dan,Pulled the microwave door at exactly the moment the timer finished with no beep.
655,Jordan,Decided to switch back to contacts.
656,Dan,"Receiving a package of British candy, including Hobnobs and Willy Wheels, from Lee."
656,Jordan,"Watching a football player cutout fall on a teacher's head at a terrible bar, acting as a metaphor for the teachers' struggles at school."
657,Dan,People repurposing Alex Jones's framed meme into new meme formats.
657,Jordan,"Taskmaster releasing its own service, prompting thoughts of hosting it with Dan."
658,Dan,"An Infowars ad features Alex Jones doing an Uncle Sam pose, offering tax relief, despite his history of railing against taxes."
658,Jordan,"Baseball is happening, a full 162-game season."
659,Dan,Dan has transition contact lenses.
659,Dan,They darken in the light.
659,Jordan,Jordan is done with Wordle.
659,Jordan,He has won every day for 25 days in a row.
660,Dan,"Scott Hall, the wrestler, passed away. He was always very exciting."
660,Jordan,Bringing back FLCL for a third and fourth season.
661,Dan,Working on content for the podcast that is exciting to him
661,Jordan,Successfully finished Forbidden West
662,Dan,"The 2009 Nicolas Cage film, Knowing."
662,Jordan,Nice table of women at a restaurant bought him and his partner a bottle of wine after they got married at a courthouse.
663,Dan,Eating interesting mustards and thinking about incorporating it into my personal brand.
663,Jordan,"Playing Scattergories with friends and the Sister Podcast, Marty and Sarah."
663,Jordan,"Playing Codenames with friends and the Sister Podcast, Marty and Sarah."
663,Jordan,"Sarah, our friend Sarah Shockey opened up the taboo box and it was completely up to date"
664,Dan,Enabling mustard consumption
664,Dan,Daddy Shark's return on episode 666
664,Jordan,Black bean coffee and chocolate (wedding present)
664,Jordan,Spicy Asian sauces
665,Dan,Frozen custard
665,Jordan,"New Robert Glasper album, specifically the 1970s nosey album."
666,Dan,Appearing on Lions Led by Donkeys with Joe Kasabian to record a two-part episode
666,Jordan,Appearing on Marty and Sarah Love Wrestling to preview WrestleMania
666,Jordan,Predicting the outcomes of some WrestleMania matches correctly
666,Jordan,Watching Stone Cold Steve Austin's return at WrestleMania
667,Dan,The Year of the Mustard is happening.
667,Dan,Mustard reviews with selfies
667,Jordan,A new bicycle from his wife.
667,Jordan,Working Bikes company
668,Dan,Watching Taskmaster after receiving Jordan's recommendation and enjoying it immensely.
668,Jordan,Watching Ohtani pitch on opening day with strong performance.
669,Dan,New season of Survivor
669,Dan,Interview with Amanda Moore
669,Jordan,Absent on vacation
670,Dan,"Partner's mom's birthday, celebrated with a lovely wine and food pairing, though the wine was incredibly strong."
670,Jordan,Dreamy Creamy era has begun on this show.
671,Dan,"His little sister is having her first child, a boy, making him an uncle again."
671,Jordan,"The initiation of the ""Dreamy, Creamy Summer"" podcast segment, replacing the ""Year of the Mustard."""
672,Dan,Dreamy Creamy Summer is here!
672,Dan,First entry is a classic Chip Witch (chocolate chip ice cream sandwich).
672,Jordan,Lobster sent as a wedding gift from Maine.
672,Jordan,Partner grew up in Maine and is excited about the lobsters.
673,Dan,Coca Cola Starlight as an 'anti bright spot'
673,Jordan,First session of wedding ring hand tattoo
674,Dan,It's his birthday (38)
674,Dan,Celebrating birthday doing things he loves
674,Dan,"Hanging out with Jordan, doing the show, and listening to Alex"
674,Jordan,A nice day in Chicago
674,Jordan,Playing tennis and outdoor activities
674,Jordan,Taking dogs on a long walk
675,Dan,"Considering shaving head, but realizing the back of head has rolls, so going to get a haircut instead. This is considered progress."
675,Jordan,"Finding Jamie Loftus's new podcast, Ghost Church, about the spiritualism era."
676,Dan,Acquisition of a new gamer chair to combat boundless moving and horrific posture.
676,Jordan,"Dreamy creamy summer is all inclusive, even for those with dietary restrictions."
677,Dan,"Final Fantasy Tactics, revisiting a favorite game due to a recent Games Done Quick event."
677,Jordan,"Hyrule Warriors: Age of Calamity, finding some fun gameplay after initial disappointment."
678,Dan,Finding Monster Mash cereal at GoPuff.
678,Jordan,"A 19-year-old beat Rafa, Djokovic, and Zverev in tennis, back-to-back-to-back."
679,Dan,"Enjoying the 'dreamy, creamy' summer and trying various non-dairy ice cream options."
679,Jordan,"First doctor's visit in 20 years, receiving a clean bill of health."
680,Dan,"Frozen Mini Pancakes, found unexpectedly while grocery shopping and described as having good texture and taste, microwavable in 30 seconds."
680,Jordan,"A new album from the Icelandic band Roiksop, described as the Icelandic answer to Daft Punk and known for working with Kings of Convenience."
681,Dan,"Astronaut ice cream week, exploring the world of astronaut ice creams."
681,Jordan,"The release of Kendrick Lamar's new album, Mr. Morale and the Big Steppers."
682,Dan,Astronaut ice cream week continues.
682,Jordan,The Kids in the Hall have returned for a new season of the television show.
683,Dan,Neapolitan freeze-dried ice cream sandwich (Space Food brand)
683,Jordan,Cloud Cookie ice cream sandwich
684,Dan,Recording with no shoes on
684,Jordan,The French Open has begun
685,Dan,Found habanero and Trinidad Scorpion pepper flakes to enhance frozen pizza eating experience
685,Jordan,First episode of mental health show on Twitch to watch The Magicians with a friend and discuss mental illness
686,Dan,New office desk chair
686,Jordan,"Everything, Everywhere, All at Once (movie)"
687,Dan,Bought a pack of disposable sauce cups
687,Dan,Contemplating buying reusable sauce cups
687,Jordan,Finished hand tattoo with nice contrast and shadows
687,Jordan,Spoke with Molly from Socialist Dog Mom on stream
687,Jordan,Stream went great until a transformer explosion
688,Dan,Frozen waffles as bread substitute
688,Dan,New toaster oven
688,Dan,Ramekin knowledge
688,Jordan,Rafael Nadal's French Open win
688,Jordan,Amazing tennis match
689,Dan,Street churro flavored ice cream from Cool House
689,Jordan,Sigur Rós concert
689,Jordan,Partner enjoying Sigur Rós
690,Dan,Dreamy Creamy Summer
690,Dan,Addressing the lack of dreaminess
690,Dan,Buying new (and possibly garish) clothes
690,Jordan,Appearing on Behind the Bastards podcast
690,Jordan,Cake jokes
691,Dan,"Receiving a delightful care package from Raptor Princess Bex, complete with chocolate and pickle relishes."
691,Jordan,"Playing tennis and doing yoga with his partner, with his partner recently improving significantly at tennis."
692,Dan,"Playing Fire Emblem: Three Houses, engaging story and characters, excited for the Dynasty Warriors version"
692,Jordan,"Playing Fire Emblem: Three Houses, scratches the itch left by Final Fantasy Tactics"
693,Dan,"The dreamy, creamy summer continues to march along."
693,Jordan,"Classic platter of celebrations with family: brother's birthday, grandfather turning 100, wedding celebration. Got it all done in one day."
694,Dan,The silliness that the summer heat brings out.
694,Jordan,Sleeping in until 8:45 a.m. after his partner's school year ended.
695,Dan,"The release of Fire Emblem Three Hopes, a Dynasty Warriors-style game. Anticipation of this release led to Dan and Jordan both becoming addicted to another Fire Emblem game."
695,Jordan,"Seeing the new Doctor Strange movie, which was a mix of Marvel, Evil Dead, and Hitchhiker's Guide to the Galaxy."
696,Dan,"Starting a GoFundMe for Apiary, a charity that supports logistical and practical help for people seeking reproductive care, turning the 'Dreamy Creamy Summer' into something positive."
696,Jordan,"Summer Games Done Quick being in person for the first time since the pandemic, heartwarming and exciting for many."
697,Dan,"Success of the Apiary GoFundMe, exceeding the initial $5,000 goal."
697,Dan,Eating ice cream.
697,Jordan,Joining the Cult Scripteds and Conspiracies podcast (Trip C) for their fundraiser stream.
697,Jordan,Joining the Cognitive Dissonance guys for their fundraiser stream.
697,Jordan,Live streaming throwing his couch off the balcony.
698,Dan,A backpack laundry basket was ordered to help with carrying laundry.
698,Dan,Excitement for future laundry days due to the novelty of the backpack laundry basket.
698,Jordan,"Summer Games Done Quick (SGDQ) wrapped up, raising over three million dollars for Doctors Without Borders."
698,Jordan,"Over $1,000,000 was raised in the last 24 hours of the event."
699,Dan,Re-signing a lease and reorganizing the apartment to freshen things up.
699,Jordan,Found a song called Gibraltar by Beirut that causes involuntary foot movements when walking to the beat.
700,Dan,Being on Lisa Trager's podcast 'Enemies' to discuss Alex Jones.
700,Jordan,Partner is going on an art retreat for three weeks.
701,Dan,Attended Jared Holt's wedding at a botanical garden
701,Jordan,Wife landed safely after being dropped off at the airport
702,Dan,Rearranging apartment to create insulated space
702,Dan,Reigniting plant-growing hobby
702,Jordan,Playing Three Houses Warriors
702,Jordan,Spending time with fictional characters
703,Dan,Dragon Ball Z as a soap opera.
703,Jordan,New polar seltzer: pink apple lemon flavor.
704,Dan,Potato seedlings sprouting in grow bags.
704,Jordan,"Playing tennis with Sarah, evenly matched but bested on the serve."
706,Dan,Enjoying live-tweeting about the trial in Austin.
706,Jordan,"Jack in the Box tacos are still enjoyable, even without the sauce."
707,Dan,"The good people at Noribar, a karaoke bar in Louisville, Kentucky, helping with technical issues."
707,Jordan,Finally getting to do the show
708,Dan,Successfully releasing an episode on the documentary on the day of its release.
708,Jordan,Dan staying up all night to finish the episode instead of delaying it.
709,Dan,Not mentioned
709,Jordan,"A bag of Swedish Fish and friends, excited that the fish have made friends"
709,Jordan,The bright spot is that today is Saturday and no live-tweeting of a trial is necessary
710,Dan,Jordan fighting with Robert Barnes on Twitter.
710,Jordan,Discovery that Alex Jones will testify in open court.
711,Dan,Heading back to Chicago
711,Dan,DJ Dan Arkey is working on a cantina theme remix of the Knowledge Fight theme song
711,Jordan,Miss Lewis looked Alex in the eye and Alex blanched
712,Dan,DJ Danarchy's cantina theme remix
712,Jordan,Being on national television
713,Dan,Bath salts in a bathtub with jets.
713,Jordan,Back scratcher after returning from a trip.
714,Dan,Anticipation for appearing on the Majority Report with Sam Seder.
714,Jordan,"Completed and released compilation of trial tweets, removing insults and personal attacks, focusing on the disorienting experience of being present at the trial."
715,Dan,Being on The Majority Report
715,Jordan,Mother-in-law inviting daughter (and Jordan) to Ireland
717,Dan,Returning to regular podcast schedule.
717,Dan,New round of Knowledge Fight buttons being released.
717,Jordan,Partner's improved mental health during leave from teaching job.
717,Jordan,Vienna beef hot dogs enjoyed back in Chicago.
718,Dan,The demand for Knowledge Fight buttons has been greater than expected.
718,Jordan,Received a bound version of his book with a beautiful cover from SpockandDaw on Twitter.
718,Jordan,Also received some empty notebooks from SpockandDaw.
719,Dan,"Dreamy creamy summer ice cream treats, possibly Cool House ice cream, and getting a Choco Taco before they were discontinued"
719,Jordan,Yakuza Like a Dragon
720,Dan,Coca Cola (specifically Dream World flavor)
720,Jordan,A new album by JID
721,Dan,Fanta's unusual new flavor: #WhatTheFanta
721,Dan,The emotional resonance of Serena Williams' retirement.
721,Jordan,"The US Open and its exciting matches, especially the upcoming match between Kyrios and Medvedev."
721,Jordan,Serena Williams' impactful retirement from tennis.
722,Dan,"Dreamy, creamy Summer of Course ice cream. Donations to the fundraiser for We Are are close to the goal, and donations for the Transgender Law Center are coming along nicely."
722,Jordan,Finally did some laundry after reaching a point of no return.
723,Dan,Norm Pattis mentioning Knowledge Fight in court hearing
723,Jordan,Discovering car registration renewal at currency exchanges
724,Dan,The end of the dreamy creamy summer and crossing the 100 ice creams mark
724,Jordan,The new show Bee and Puppycat
725,Dan,"Wonka game buttons are being found, with the first golden ticket discovered by Juniper in Vermont."
725,Jordan,"The Harley Quinn cartoon is really good, especially its unique perspective on Batman and Commissioner Gordon."
726,Dan,Discovered the show 'Contraption Masters' on Paramount Plus.
726,Dan,The host looks like a friendly British Al Pacino.
726,Dan,The show teaches about physics in a fun way.
726,Jordan,"Muramasa released a new album, 'Demon Time'."
726,Jordan,The track 'Lovesick Fuck' is especially good.
727,Dan,Playing Valkyria Chronicles
727,Jordan,Watching the Lord of the Rings: The Rings of Power
728,Dan,"Watching YouTube videos explaining elaborate hoax games and alternative reality games, appreciating the dedication and enthusiasm of those involved."
728,Jordan,"Finding an old season of The Challenge filled with 'dirtbag' contestants, a counterpoint to the more wholesome Great British Bake Off"
729,Dan,"Looking forward to the release of the new Sonic game, hoping it will recapture the fun of Sonic Adventure 2 Battle."
729,Jordan,"Roger Federer and Rafa Nadal playing a doubles match in the Laver Cup. It was Federer's last match, a momentous occasion with emotional displays from players and fans."
730,Dan,The turning of the season to fall and anticipation of seasonal treats like cranberry splash Sierra Mist and apple-flavored Werther's Originals
730,Jordan,Fitness week and exercise with partner
731,Dan,Discovering the existence of the Nicolas Cage movie 'Color Out of Space'
731,Jordan,Enjoying the HBO show 'Succession'
732,Dan,Finishing the show Contraption Masters and starting the survival show Alone.
732,Jordan,"Watching the show Welcome to Wrexham, a documentary about Ryan Reynolds and Rob McElhenney buying a Welsh football club."
733,Dan,Bray Wyatt's return to WWE.
733,Jordan,New giant beanbag chair that is extremely comfortable for sleeping.
734,Dan,The confusion and novelty of discovering Arnold Palmer half and half fruit snacks.
734,Dan,The memory of his grandfather's false claim about inventing the Grey Poupon joke.
734,Jordan,Shohei Otani's continued dominance in baseball.
